200,6203602551,E1,E1,E1,,DZ110134,KWH,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,20191026,0.075,0.075,0.063,0.088,0.063,0.063,0.075,0.088,0.063,0.063,0.075,0.088,0.063,0.088,0.888,0.325,0.213,0.138,0.15,0.263,0.063,0.088,0.088,0.113,0.313,0.175,0.113,0.063,0.063,0.075,0.088,0.063,0.063,0.075,0.075,0.063,0.063,0.075,0.075,0.063,0.063,0.075,0.075,0.063,0.075,0.075,0.063,0.063,A,,,2.0191E+13
300,20191027,0.075,0.075,0.05,0.075,0.075,0.063,0.063,0.075,0.063,0.063,0.063,0.075,0.063,0.063,0.075,0.075,0.05,0.075,0.075,0.063,0.063,0.075,0.063,0.138,0.1,0.088,0.075,0.075,0.213,0.138,0.138,0.125,0.138,0.138,0.125,0.125,0.125,0.125,0.138,0.125,0.113,0.075,0.075,0.075,0.075,0.063,0.075,0.075,A,,,2.0191E+13
300,20191028,0.075,0.063,0.075,0.075,0.063,0.063,0.075,0.075,0.05,0.075,0.075,0.088,0.388,0.188,0.175,0.05,0.363,0.313,0.275,0.488,0.55,0.175,0.088,0.1,0.075,0.063,0.075,0.075,0.088,0.063,0.125,0.775,1.425,0.325,0.45,0.138,0.138,0.138,0.15,0.175,0.125,0.1,0.088,0.088,0.088,0.063,0.075,0.075,A,,,2.0191E+13
300,20191029,0.075,0.075,0.063,0.075,0.075,0.075,0.063,0.075,0.075,0.075,0.063,0.238,0.163,0.113,0.1,0.063,0.113,0.088,0.075,0.075,0.075,0.063,0.063,0.075,0.075,0.075,0.063,0.088,0.088,0.113,0.1,0.1,0.163,0.113,0.063,0.063,0.313,0.163,0.213,0.163,0.138,0.2,0.175,0.088,0.075,0.1,0.088,0.075,A,,,2.0191E+13
300,20191030,0.075,0.075,0.088,0.088,0.075,0.075,0.088,0.075,0.075,0.075,0.088,0.1,0.163,0.1,0.388,0.163,0.113,0.35,0.125,0.1,0.088,0.088,0.15,0.1,0.088,0.125,0.1,0.113,0.113,0.125,0.113,0.4,0.525,0.588,0.488,0.163,0.163,0.138,0.2,0.138,0.15,0.15,0.5,0.213,0.513,0.088,0.088,0.075,A,,,2.0191E+13
300,20191031,0.075,0.088,0.088,0.075,0.075,0.075,0.088,0.088,0.075,0.075,0.075,0.263,0.188,0.375,0.15,0.1,0.238,0.075,0.075,0.088,0.113,0.113,0.063,0.075,0.088,0.175,0.138,0.113,0.163,0.438,0.113,1.35,1.05,0.513,0.75,0.088,0.113,0.4,0.163,0.175,0.175,0.163,0.688,0.075,0.088,0.088,0.088,0.075,A,,,2.01911E+13
300,20191101,0.075,0.075,0.088,0.075,0.075,0.075,0.075,0.088,0.075,0.075,0.075,0.1,0.2,0.388,0.138,0.1,0.088,0.225,0.138,0.4,0.163,0.1,0.075,0.075,0.088,0.375,0.138,0.125,0.225,1.538,1.113,0.625,0.175,0.488,1.375,0.15,0.138,0.425,0.2,0.175,0.163,0.175,0.188,0.875,0.425,0.088,0.088,0.088,A,,,2.01911E+13
300,20191102,0.075,0.075,0.088,0.088,0.075,0.075,0.075,0.088,0.075,0.075,0.075,0.1,0.1,0.113,0.763,0.263,0.213,0.213,0.238,0.2,0.175,0.175,0.2,0.225,0.613,0.475,0.35,0.113,0.113,0.1,0.625,0.9,1.063,0.163,0.188,0.188,0.125,0.125,0.125,0.113,0.125,0.113,0.088,0.063,0.063,0.075,0.075,0.075,A,,,2.01911E+13
300,20191103,0.063,0.063,0.075,0.075,0.075,0.063,0.063,0.063,0.075,0.075,0.063,0.063,0.075,0.088,0.1,0.588,0.263,0.125,0.075,0.2,0.15,0.088,0.075,0.063,0.075,0.088,0.075,0.063,0.063,0.088,0.075,0.188,0.125,1.988,0.525,0.175,0.15,0.15,0.138,0.125,0.113,0.088,0.075,0.075,0.075,0.075,0.075,0.075,A,,,2.01911E+13
300,20191104,0.063,0.088,0.075,0.063,0.075,0.075,0.075,0.075,0.063,0.075,0.075,0.088,0.225,0.1,0.113,0.113,0.163,0.1,0.075,0.088,0.063,0.075,0.088,0.075,0.063,0.063,0.088,0.075,0.375,0.238,0.5,0.35,0.35,0.925,0.125,0.413,0.2,0.175,0.175,0.138,0.15,0.15,0.138,0.388,0.35,0.575,0.138,0.075,A,,,2.01911E+13
